Week #,Sample Date,Month,Day,Year,Station,Alex  (cells/liter),PN Large (?3 um)  (cells/liter),PN Small (<3 um) (cells/liter),Chl (ug/l),PAR (uE/m^2/s),Temp C,Salinity (PSU)
8,2/23/2017,2,23,2017,UNH Pier,0,0,0,,,4,30.53
9,3/3/2017,3,3,2017,UNH Pier,0,0,0,,,,
10,3/10/2017,3,10,2017,UNH Pier,0,0,30,,,,
11,3/17/2017,3,17,2017,UNH Pier,15,0,0,,,2.8,29.78
12,3/24/2017,3,24,2017,UNH Pier,0,0,0,,,3.6,29.44
13,3/31/2017,3,31,2017,UNH Pier,0,0,30,,,4.3,28.32
14,4/7/2017,4,7,2017,UNH Pier,0,0,0,,,4.7,25.62
15,4/15/2017,4,15,2017,UNH Pier,0,0,0,,,6.1,27.58
16,4/21/2017,4,21,2017,UNH Pier,0,0,0,,0,7.1,28.25
17,4/28/2017,4,28,2017,UNH Pier,30,0,0,,0,8.8,24.68
18,5/5/2017,5,5,2017,UNH Pier,90,0,0,,0,8.1,26.78
19,5/13/2017,5,13,2017,UNH Pier,37.5,0,0,,0,9.9,26.41
20,5/19/2017,5,19,2017,UNH Pier,30,0,0,,0.1,10.3,26.6
21,5/27/2017,5,27,2017,UNH Pier,22.5,0,0,,0.1,11.7,26.75
23,6/7/2017,6,7,2017,UNH Pier,37.5,0,0,,0.1,11.6,27.41
23,6/9/2017,6,9,2017,UNH Pier,67.5,0,0,,0,12.6,26.44
24,6/16/2017,6,16,2017,UNH Pier,15,105,90,,0,12.8,27.85
25,6/23/2017,6,23,2017,UNH Pier,0,360,30,,0,11.3,28.99
26,6/29/2017,6,29,2017,UNH Pier,0,495,277.5,,0,11.5,29.69
27,7/7/2017,7,7,2017,UNH Pier,45,0,0,,0,13,29.83
28,7/14/2017,7,14,2017,UNH Pier,0,60,0,,0,14.2,29.84
29,7/21/2017,7,21,2017,UNH Pier,0,0,45,,0.1,16.9,29.75
30,7/28/2017,7,28,2017,UNH Pier,0,0,75,,0.1,17.5,29.86
31,8/4/2017,8,4,2017,UNH Pier,0,0,0,-0.051,0.1,20,22.75
32,8/11/2017,8,11,2017,UNH Pier,30,0,0,0.253,0.1,14.2,30.6
33,8/18/2017,8,18,2017,UNH Pier,0,0,0,0.813,0,15.4,30.46
34,8/25/2017,8,25,2017,UNH Pier,0,0,0,1.022,0,14.8,30.43
35,9/1/2017,9,1,2017,UNH Pier,0,0,0,1.709,0,16.6,30.43
36,9/8/2017,9,8,2017,UNH Pier,0,0,0,1.803,0,13.4,30.67
37,9/15/2017,9,15,2017,UNH Pier,0,0,262.5,3.402,0,14.8,30.44
38,9/22/2017,9,22,2017,UNH Pier,0,172.5,240,2.761,0,16.9,30.54
39,9/29/2017,9,29,2017,UNH Pier,0,345,1230,0.269,0,16.8,29.86
40,10/5/2017,10,5,2017,UNH Pier,0,247.5,1027.5,0.261,,14.8,30.04
41,10/14/2017,10,14,2017,UNH Pier,0,0,15,0.484,,15,31.03
42,10/19/2017,10,19,2017,UNH Pier,0,0,15,0.477,0,12.5,31.27
43,10/27/2017,10,27,2017,UNH Pier,0,0,0,0.181,0,12.4,30.89
44,11/3/2017,11,3,2017,UNH Pier,0,0,0,0.195,,11.2,28.87
46,11/12/2017,11,12,2017,UNH Pier,0,15,30,0.271,,9.3,29.46
46,11/17/2017,11,17,2017,UNH Pier,0,120,82.5,0.477,0,9.2,30.5
47,11/24/2017,11,24,2017,UNH Pier,0,105,60,-0.009,0,8.4,30.04
48,11/30/2017,11,30,2017,UNH Pier,0,607.5,472.5,-0.031,0,7.7,30.13
49,12/7/2017,12,7,2017,UNH Pier,0,855,615,0.129,0,8,30.46
50,12/14/2017,12,14,2017,UNH Pier,0,870,720,0.06,0,6.5,30.35
51,12/22/2017,12,22,2017,UNH Pier,0,705,540,-0.045,0,5.8,30.86
52,12/29/2017,12,29,2017,UNH Pier,0,255,22.5,0.019,0,3.2,30.77
1,1/5/2018,1,5,2018,UNH Pier,0,180,0,,,2.3,31.11
2,1/8/2018,1,8,2018,UNH Pier,0,270,0,,0,1.6,31.28
3,1/15/2018,1,15,2018,UNH Pier,0,165,0,,0,4.7,30.07
4,1/22/2018,1,22,2018,UNH Pier,0,0,0,,0,3,29.77
5,1/29/2018,1,29,2018,UNH Pier,0,97.5,142.5,,0,3.4,29.86
6,2/5/2018,2,5,2018,UNH Pier,0,60,67.5,,0,3.2,30.31
7,2/12/2018,2,12,2018,UNH Pier,0,0,15,,,3.3,29.75
8,2/19/2018,2,19,2018,UNH Pier,0,135,67.5,,,4.1,29.02
9,2/26/2018,2,26,2018,UNH Pier,0,0,0,,0,4.4,28.47
10,3/4/2018,3,4,2018,UNH Pier,0,0,0,,,5,28.5
11,3/12/2018,3,12,2018,UNH Pier,0,0,0,,,4.5,28.95
12,3/19/2018,3,19,2018,UNH Pier,0,0,0,,0,3.8,28.94
13,3/26/2018,3,26,2018,UNH Pier,0,0,52.5,,0.1,4.8,29.62
14,4/2/2018,4,2,2018,UNH Pier,0,0,0,,0,5.9,27.63
15,4/9/2018,4,9,2018,UNH Pier,0,0,0,,0.1,6.3,28.76
16,4/16/2018,4,16,2018,UNH Pier,0,0,7.5,,0,5.9,29.44
17,4/23/2018,4,23,2018,UNH Pier,7.5,0,0,,0,,
18,4/30/2018,4,30,2018,UNH Pier,7.5,0,0,,,,
19,5/7/2018,5,7,2018,UNH Pier,0,0,0,,,,
20,5/14/2018,5,14,2018,UNH Pier,7.5,0,0,,,,
21,5/21/2018,5,21,2018,UNH Pier,0,0,1560,,,,
22,5/28/2018,5,28,2018,UNH Pier,22.5,37.5,202.5,,,,
23,6/4/2018,6,4,2018,UNH Pier,0,0,0,,,,
23,6/7/2018,6,7,2018,UNH Pier,0,0,0,,,,
24,6/11/2018,6,11,2018,UNH Pier,7.5,0,0,,,,
25,6/18/2018,6,18,2018,UNH Pier,7.5,0,0,,,,
26,6/25/2018,6,25,2018,UNH Pier,0,75,2010,,,,
27,7/2/2018,7,2,2018,UNH Pier,22.5,270,435,,,,
28,7/9/2018,7,9,2018,UNH Pier,0,397.5,480,,,,
29,7/16/2018,7,16,2018,UNH Pier,7.5,97.5,52.5,,,,
30,7/23/2018,7,23,2018,UNH Pier,0,375,270,,,,
31,7/30/2018,7,30,2018,UNH Pier,0,97.5,37.5,,,,
32,8/6/2018,8,6,2018,UNH Pier,0,52.5,0,,,,
33,8/13/2018,8,13,2018,UNH Pier,0,217.5,67.5,,,,
34,8/20/2018,8,20,2018,UNH Pier,0,157.5,82.5,,,,
35,8/27/2018,8,27,2018,UNH Pier,0,45,22.5,,,,
36,9/3/2018,9,3,2018,UNH Pier,0,210,60,,,,
37,9/10/2018,9,10,2018,UNH Pier,0,0,0,,,,
38,9/17/2018,9,17,2018,UNH Pier,0,0,0,,,,
39,9/24/2018,9,24,2018,UNH Pier,0,0,0,,,,
41,10/8/2018,10,8,2018,UNH Pier,0,60,165,,,,
42,10/15/2018,10,15,2018,UNH Pier,0,120,67.5,,,,
43,10/22/2018,10,22,2018,UNH Pier,0,0,60,,,,
44,10/29/2018,10,29,2018,UNH Pier,0,555,97.5,,,,
45,11/5/2018,11,5,2018,UNH Pier,0,172.5,345,,,,
46,11/12/2018,11,12,2018,UNH Pier,0,37.5,82.5,,,,
47,11/19/2018,11,19,2018,UNH Pier,0,0,0,,,,
48,11/26/2018,11,26,2018,UNH Pier,0,0,0,,,,
49,12/3/2018,12,3,2018,UNH Pier,0,0,15,,,,
51,12/18/2018,12,18,2018,UNH Pier,0,0,0,,,,
53,12/31/2018,12,31,2018,UNH Pier,0,60,0,,,,
2,1/7/2019,1,7,2019,UNH Pier,0,0,0,,,,
4,1/22/2019,1,22,2019,UNH Pier,0,0,0,,0,2.3,26.96
6,2/5/2019,2,5,2019,UNH Pier,0,0,0,,0,3.2,29.87
8,2/18/2019,2,18,2019,UNH Pier,0,0,0,,0,3.1,30.55
9,2/25/2019,2,25,2019,UNH Pier,0,0,0,,0,2.8,30.47
10,3/5/2019,3,5,2019,UNH Pier,0,0,0,,0,2.3,30.31
11,3/11/2019,3,11,2019,UNH Pier,0,0,0,,0,2.4,31
12,3/18/2019,3,18,2019,UNH Pier,0,0,0,,0,3.9,29.77
13,3/25/2019,3,25,2019,UNH Pier,0,0,0,,0,3.9,29.42
14,4/1/2019,4,1,2019,UNH Pier,0,0,0,,0,4.7,29.7
15,4/7/2019,4,7,2019,UNH Pier,0,0,0,,,,
16,4/16/2019,4,16,2019,UNH Pier,0,0,0,,,,
17,4/22/2019,4,22,2019,UNH Pier,0,0,0,,,,
18,4/29/2019,4,29,2019,UNH Pier,0,0,30,,,,
19,5/6/2019,5,6,2019,UNH Pier,22.5,0,0,,,,
20,5/13/2019,5,13,2019,UNH Pier,30,0,0,,,,
21,5/20/2019,5,20,2019,UNH Pier,82.5,0,0,,,,
22,5/27/2019,5,27,2019,UNH Pier,75,0,0,,,,
23,6/3/2019,6,3,2019,UNH Pier,390,0,0,,,,
24,6/10/2019,6,10,2019,UNH Pier,165,105,0,,,,
25,6/17/2019,6,17,2019,UNH Pier,22.5,0,0,,,,
26,6/24/2019,6,24,2019,UNH Pier,172.5,15,67.5,,0.1,,
27,7/1/2019,7,1,2019,UNH Pier,510,0,0,,0.1,14.9,29.2
28,7/8/2019,7,8,2019,UNH Pier,45,0,247.5,,0.1,15.3,29.85
29,7/15/2019,7,15,2019,UNH Pier,157.5,120,210,,0.1,15.6,29.99
30,7/22/2019,7,22,2019,UNH Pier,37.5,1980,1995,,0,15.3,30.43
31,7/29/2019,7,29,2019,UNH Pier,15,127.5,1185,,0.1,,
32,8/5/2019,8,5,2019,UNH Pier,0,3225,30,,0.1,14.9,30.61
33,8/12/2019,8,12,2019,UNH Pier,0,2250,180,,0.1,14.3,31.02
34,8/19/2019,8,19,2019,UNH Pier,0,150,0,,0,17.4,30.92
35,8/26/2019,8,26,2019,UNH Pier,0,60,0,,0.1,18.9,30.69
36,9/2/2019,9,2,2019,UNH Pier,0,0,165,,,,
37,9/9/2019,9,9,2019,UNH Pier,0,30,30,,,,
38,9/16/2019,9,16,2019,UNH Pier,0,30,30,,0,15.2,31.59
39,9/23/2019,9,23,2019,UNH Pier,0,480,2745,,0,15.6,31.58
40,9/30/2019,9,30,2019,UNH Pier,0,240,210,,0,14.3,31.71
41,10/7/2019,10,7,2019,UNH Pier,0,0,375,,0,14.1,31.91
42,10/14/2019,10,14,2019,UNH Pier,0,210,217.5,,0,13.5,31.81
43,10/21/2019,10,21,2019,UNH Pier,0,0,120,,,13,31.16
44,10/28/2019,10,28,2019,UNH Pier,0,0,0,,,12.5,30.73
45,11/4/2019,11,4,2019,UNH Pier,0,0,0,,0,11.1,30.4
46,11/11/2019,11,11,2019,UNH Pier,0,0,0,,,9.5,30.91
47,11/19/2019,11,19,2019,UNH Pier,0,0,0,,0,7.6,31.5
48,11/25/2019,11,25,2019,UNH Pier,0,0,0,,0,7.4,31.3
6,2/3/2020,2,3,2020,UNH Pier,0,0,67.5,,0,4.2,29.11
7,2/10/2020,2,10,2020,UNH Pier,0,0,0,,0,3.7,29.44
8,2/17/2020,2,17,2020,UNH Pier,0,0,37.5,,0,3.9,29.85
9,2/24/2020,2,24,2020,UNH Pier,0,0,0,,0,4.7,30.29
10,3/2/2020,3,2,2020,UNH Pier,0,0,15,,0,4.7,29.24
11,3/9/2020,3,9,2020,UNH Pier,0,0,0,,0,4.9,29.79
12,3/15/2020,3,15,2020,UNH Pier,30,0,0,,0,5.6,29.88
13,3/23/2020,3,23,2020,UNH Pier,22.5,105,127.5,,0,5.7,30.47
14,3/30/2020,3,30,2020,UNH Pier,0,0,292.5,,0,6.1,29.17
15,4/7/2020,4,7,2020,UNH Pier,0,0,0,,0.1,6.5,27.63
16,4/12/2020,4,12,2020,UNH Pier,0,0,0,,0.1,6.1,28.5
17,4/23/2020,4,23,2020,UNH Pier,0,0,0,,0.1,6.4,29.18
18,4/29/2020,4,29,2020,UNH Pier,0,0,90,,0.1,7.3,28.81
19,5/6/2020,5,6,2020,UNH Pier,15,0,412.5,,0.1,8.7,28.06
20,5/11/2020,5,11,2020,UNH Pier,0,0,0,,0,7.5,29.18
21,5/18/2020,5,18,2020,UNH Pier,7.5,0,75,,0,9.3,28.64
22,5/25/2020,5,25,2020,UNH Pier,0,1980,2962.5,,,10.7,28.76
23,6/1/2020,6,1,2020,UNH Pier,0,6202.5,13162.5,,0.1,10.3,28.89
24,6/8/2020,6,8,2020,UNH Pier,15,630,320000,,,,
25,6/15/2020,6,15,2020,UNH Pier,0,0,5287.5,,,,
26,6/22/2020,6,22,2020,UNH Pier,0,0,13965,,,,
27,6/29/2020,6,29,2020,UNH Pier,0,0,53325,,0,15.2,31.27
28,7/6/2020,7,6,2020,UNH Pier,0,0,982.5,,0.1,18,30.63
29,7/13/2020,7,13,2020,UNH Pier,0,0,1162.5,,0,16.2,31.19
30,7/20/2020,7,20,2020,UNH Pier,0,157.5,930,,0,15.8,31.11
31,7/27/2020,7,27,2020,UNH Pier,0,1170,892.5,,,19.3,31.04
32,8/3/2020,8,3,2020,UNH Pier,0,240,187.5,,0.1,17.4,31.54
33,8/10/2020,8,10,2020,UNH Pier,0,435,202.5,,0.1,16.8,31.77
34,8/17/2020,8,17,2020,UNH Pier,0,90,60,,0.1,19,31.59
35,8/24/2020,8,24,2020,UNH Pier,0,90,60,,0.1,18,31.77
36,8/31/2020,8,31,2020,UNH Pier,0,105,225,,,,
37,9/11/2020,9,11,2020,UNH Pier,0,1530,32580,,0,15.7,31.82
38,9/14/2020,9,14,2020,UNH Pier,0,4485,10890,,0,17.1,31.7
39,9/21/2020,9,21,2020,UNH Pier,0,6952.5,750,,0,15,31.95
40,9/28/2020,9,28,2020,UNH Pier,0,855,30,,0,15.6,32.1
41,10/5/2020,10,5,2020,UNH Pier,0,6472.5,67.5,,0,13.9,32.11
42,10/12/2020,10,12,2020,UNH Pier,0,9787.5,592.5,,0,12.1,32.44
43,10/20/2020,10,20,2020,UNH Pier,0,960,22.5,,0,13.9,15.99
44,10/26/2020,10,26,2020,UNH Pier,0,3630,0,,0,12.5,31.93
45,11/2/2020,11,2,2020,UNH Pier,0,67.5,7.5,,0,,
46,11/9/2020,11,9,2020,UNH Pier,0,82.5,22.5,,0,10.5,29.98
47,11/16/2020,11,16,2020,UNH Pier,0,5595,75,,0,10.1,31.83
48,11/24/2020,11,24,2020,UNH Pier,0,2992.5,0,,0,7.9,31.31
49,11/29/2020,11,29,2020,UNH Pier,0,4575,615,,0,7.8,31.54
50,12/7/2020,12,7,2020,UNH Pier,0,630,0,,0,7.2,29.88
51,12/14/2020,12,14,2020,UNH Pier,0,202.5,0,,0,6.5,30.53
52,12/21/2020,12,21,2020,UNH Pier,0,60,75,,0,5.1,30.44
53,12/28/2020,12,28,2020,UNH Pier,0,30,82.5,,0,6.2,29.34
2,1/3/2021,1,3,2021,UNH Pier,0,45,127.5,,,6.1,30.11
3,1/11/2021,1,11,2021,UNH Pier,0,90,52.5,,,4.9,30.72
4,1/18/2021,1,18,2021,UNH Pier,0,0,52.5,,,,
5,1/25/2021,1,25,2021,UNH Pier,0,0,0,,,4.9,30.65
6,2/1/2021,2,1,2021,UNH Pier,0,0,0,,0,3.4,31.32
7,2/10/2021,2,10,2021,UNH Pier,0,0,0,,0,3.6,31.8
8,2/15/2021,2,15,2021,UNH Pier,0,0,0,,0,,
9,2/22/2021,2,22,2021,UNH Pier,0,0,0,,0,2.9,31.51
10,3/1/2021,3,1,2021,UNH Pier,0,0,0,,0,4.4,43.69
11,3/8/2021,3,8,2021,UNH Pier,0,0,0,,0,3.7,31.21
12,3/15/2021,3,15,2021,UNH Pier,0,0,0,,0,,
13,3/22/2021,3,22,2021,UNH Pier,0,105,0,,0,5.1,30.75
14,3/29/2021,3,29,2021,UNH Pier,0,0,0,,0,5.9,30.86
15,4/6/2021,4,6,2021,UNH Pier,0,0,0,,,6.5,30.49
16,4/13/2021,4,13,2021,UNH Pier,22.5,0,0,,0,8.3,28.75
17,4/19/2021,4,19,2021,UNH Pier,15,0,0,,0.1,8,29.18
18,4/26/2021,4,26,2021,UNH Pier,0,0,0,,0.1,7.7,31.07
19,5/3/2021,5,3,2021,UNH Pier,15,0,0,,0,8.5,31.1
20,5/10/2021,5,10,2021,UNH Pier,0,0,0,,,10.1,30.23
21,5/21/2021,5,21,2021,UNH Pier,22.5,0,0,,0.1,12.7,30.39
22,5/27/2021,5,27,2021,UNH Pier,0,0,0,,0.1,10.7,31.55
23,5/31/2021,5,31,2021,UNH Pier,0,0,0,,0,10.6,31.47
24,6/6/2021,6,6,2021,UNH Pier,0,0,0,,,,
25,6/13/2021,6,13,2021,UNH Pier,0,172.5,37.5,,,,
26,6/20/2021,6,20,2021,UNH Pier,7.5,3022.5,1350,,,,
27,6/27/2021,6,27,2021,UNH Pier,7.5,3247.5,877.5,,,,
28,7/4/2021,7,4,2021,UNH Pier,0,645,22.5,,,,
29,7/11/2021,7,11,2021,UNH Pier,0,7.5,90,,,,
30,7/18/2021,7,18,2021,UNH Pier,0,0,22.5,,,,
31,7/25/2021,7,25,2021,UNH Pier,0,37.5,30,,,,
32,8/1/2021,8,1,2021,UNH Pier,7.5,0,112.5,,,,
33,8/8/2021,8,8,2021,UNH Pier,0,127.5,0,,,,
34,8/15/2021,8,15,2021,UNH Pier,0,0,0,,,,
35,8/22/2021,8,22,2021,UNH Pier,0,0,0,,,,
36,8/29/2021,8,29,2021,UNH Pier,,,,,,,
37,9/5/2021,9,5,2021,UNH Pier,,,,,,,
38,9/12/2021,9,12,2021,UNH Pier,,,,,,,
39,9/19/2021,9,19,2021,UNH Pier,0,0,37.5,,,,
40,9/26/2021,9,26,2021,UNH Pier,0,97.5,0,,,,
41,10/4/2021,10,4,2021,UNH Pier,,,,,,,
42,10/10/2021,10,10,2021,UNH Pier,,,,,,,
43,10/17/2021,10,17,2021,UNH Pier,,,,,,,
44,10/24/2021,10,24,2021,UNH Pier,,,,,,,
45,10/31/2021,10,31,2021,UNH Pier,0,0,0,,,,
46,11/7/2021,11,7,2021,UNH Pier,0,0,0,,,,
47,11/14/2021,11,14,2021,UNH Pier,0,30,37.5,,,,
48,11/21/2021,11,21,2021,UNH Pier,,,,,,,
49,11/28/2021,11,28,2021,UNH Pier,0,30,0,,,,
50,12/5/2021,12,5,2021,UNH Pier,0,300,0,,,,
51,12/12/2021,12,12,2021,UNH Pier,0,90,0,,,,
52,12/19/2021,12,19,2021,UNH Pier,0,7.5,0,,,,
53,12/26/2021,12,26,2021,UNH Pier,0,60,0,,,,
2,1/2/2022,1,2,2022,UNH Pier,0,75,0,,,,
3,1/9/2022,1,9,2022,UNH Pier,0,67.5,0,,,,
4,1/16/2022,1,16,2022,UNH Pier,0,0,0,,,,
5,1/23/2022,1,23,2022,UNH Pier,0,60,0,,,,
6,1/30/2022,1,30,2022,UNH Pier,0,7.5,0,,,,
7,2/6/2022,2,6,2022,UNH Pier,0,0,757.5,,,,
8,2/13/2022,2,13,2022,UNH Pier,0,0,877.5,,,,
