"Year","Station","Species","Max"
2017,"UNH Pier","Alex",90
2018,"UNH Pier","Alex",22.5
2019,"UNH Pier","Alex",510
2020,"UNH Pier","Alex",30
2021,"UNH Pier","Alex",22.5
2022,"UNH Pier","Alex",2130
2017,"HHHR2","Alex",67.5
2018,"HHHR2","Alex",45
2019,"HHHR2","Alex",1807.5
2020,"HHHR2","Alex",30
2021,"HHHR2","Alex",22.5
2022,"HHHR2","Alex",5902.5
2017,"UNH Pier","Large_PN",870
2018,"UNH Pier","Large_PN",555
2019,"UNH Pier","Large_PN",3225
2020,"UNH Pier","Large_PN",9787.5
2021,"UNH Pier","Large_PN",3247.5
2022,"UNH Pier","Large_PN",1710
2017,"HHHR2","Large_PN",4342.5
2018,"HHHR2","Large_PN",1762.5
2019,"HHHR2","Large_PN",4110
2020,"HHHR2","Large_PN",26767.5
2021,"HHHR2","Large_PN",487.5
2022,"HHHR2","Large_PN",577.5
2017,"UNH Pier","Small_PN",1230
2018,"UNH Pier","Small_PN",2010
2019,"UNH Pier","Small_PN",2745
2020,"UNH Pier","Small_PN",320000
2021,"UNH Pier","Small_PN",1350
2022,"UNH Pier","Small_PN",10035
2017,"HHHR2","Small_PN",3367.5
2018,"HHHR2","Small_PN",20850
2019,"HHHR2","Small_PN",3307.5
2020,"HHHR2","Small_PN",1150000
2021,"HHHR2","Small_PN",720
2022,"HHHR2","Small_PN",15172.5
